Energy (keV),Intensity (CPS)
-11.002091379389553,0.0
9.037637518828321,0.0
29.077366417046193,0.0
49.117095315264066,0.0
69.15682421348194,0.0
89.19655311169981,0.0
109.23628200991769,0.0
129.27601090813556,0.0
149.31573980635343,0.0
169.3554687045713,0.0
189.39519760278918,0.0
209.43492650100706,0.0
229.47465539922493,0.0
249.51438429744277,0.0
269.5541131956607,0.0
289.5938420938786,0.0
309.63357099209645,0.0
329.6732998903143,0.0
349.7130287885322,0.8464386264471305
369.7527576867501,0.42321931322356526
389.79248658496795,1.2696579396706957
409.8322154831858,0.42321931322356526
429.8719443814037,3.385754505788522
449.9116732796216,1.692877252894261
469.95140217783944,2.5393158793413915
489.9911310760573,2.5393158793413915
510.03085997427513,5.078631758682783
530.0705888724931,3.8089738190120874
550.1103177707109,2.962535192564957
570.1500466689288,2.5393158793413915
590.1897755671467,5.078631758682783
610.2295044653646,5.925070385129914
630.2692333635824,5.078631758682783
650.3089622618003,4.655412445459218
670.3486911600181,5.501851071906349
690.3884200582361,5.501851071906349
710.4281489564539,6.348289698353479
730.4678778546718,4.232193132235652
750.5076067528897,8.464386264471305
770.5473356511076,6.348289698353479
790.5870645493254,7.194728324800609
810.6267934475433,5.925070385129914
830.6665223457611,6.771509011577044
850.7062512439791,3.385754505788522
870.7459801421969,6.348289698353479
890.7857090404148,8.464386264471305
910.8254379386327,2.962535192564957
930.8651668368506,3.8089738190120874
950.9048957350684,8.04116695124774
970.9446246332863,7.617947638024175
990.9843535315041,6.771509011577044
1011.0240824297221,3.385754505788522
1031.0638113279397,8.04116695124774
1051.1035402261577,7.194728324800609
1071.1432691243756,7.617947638024175
1091.1829980225934,5.078631758682783
1111.2227269208113,5.925070385129914
1131.2624558190291,7.617947638024175
1151.302184717247,7.194728324800609
1171.3419136154648,5.925070385129914
1191.381642513683,5.078631758682783
1211.4213714119007,5.925070385129914
1231.4611003101186,5.078631758682783
1251.5008292083364,5.078631758682783
1271.5405581065543,8.464386264471305
1291.5802870047721,4.655412445459218
1311.62001590299,7.194728324800609
1331.6597448012078,3.8089738190120874
1351.6994736994257,7.617947638024175
1371.7392025976437,5.501851071906349
1391.7789314958616,6.771509011577044
1411.8186603940794,5.501851071906349
1431.8583892922973,4.655412445459218
1451.898118190515,5.501851071906349
1471.937847088733,4.655412445459218
1491.9775759869508,5.501851071906349
1512.0173048851689,4.655412445459218
1532.0570337833867,5.925070385129914
1552.0967626816046,4.232193132235652
1572.1364915798224,4.655412445459218
1592.1762204780402,3.385754505788522
1612.215949376258,3.385754505788522
1632.255678274476,3.385754505788522
1652.2954071726938,2.116096566117826
1672.3351360709116,4.655412445459218
