"Date","Test #","Serial #","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG Flag","Mg","Mg +/-","Al","Al +/-","Si","Si +/-","Ti","Ti +/-","V","V +/-","Cr","Cr +/-","Mn","Mn +/-","Fe","Fe +/-","Co","Co +/-","Ni","Ni +/-","Cu","Cu +/-","Zn","Zn +/-","Se","Se +/-","Zr","Zr +/-","Nb","Nb +/-","Mo","Mo +/-","Ag","Ag +/-","Cd","Cd +/-","Sn","Sn +/-","Hf","Hf +/-","Ta","Ta +/-","W","W +/-","Re","Re +/-","Pb","Pb +/-","Bi","Bi +/-","Pd","Pd +/-","Sb","Sb +/-","Au","Au +/-","P","P +/-","S","S +/-","Y","Y +/-","Ru","Ru +/-"
"2026-01-31 15:16:06","3","X550-04360","","","","Soil","","","","","","","","ND","< 0.09","0.06","0.01","35.16","2.49","2.78","0.49","100.8","8.84","0.24","0.13","5.67","0.52","0.07","0.02","ND","< 0.01","ND","< 0.01","ND","< 0.05","ND","< 0.01","0.50","0.04","ND","< 0.01","ND","< 0.01","ND","< 0.04","","","ND","< 0.02","ND","< 0.13","","","ND","< 0.01","","","","","ND","< 0.02","","","ND","< 1.37","4.62","1.32","ND","< 0.01","",""
"2026-01-31 15:16:26","4","X550-04360","","","","Mining","","","","0.79","0.21","0.83","0.09","","","0.08","0.02","16.73","0.14","1.07","0.07","66.72","0.31","0.25","0.05","9.45","0.14","0.18","0.03","","","","","","","","","1.74","0.02","","","","","","","","","","","0.15","0.06","","","0.04","0.01","","","","","","","","","0.13","0.02","1.27","0.04","","","",""
