"Date","Test #","Serial #","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG Flag","Mg","Mg +/-","Al","Al +/-","Si","Si +/-","Ti","Ti +/-","V","V +/-","Cr","Cr +/-","Mn","Mn +/-","Fe","Fe +/-","Co","Co +/-","Ni","Ni +/-","Cu","Cu +/-","Zn","Zn +/-","Se","Se +/-","Zr","Zr +/-","Nb","Nb +/-","Mo","Mo +/-","Ag","Ag +/-","Cd","Cd +/-","Sn","Sn +/-","Hf","Hf +/-","Ta","Ta +/-","W","W +/-","Re","Re +/-","Pb","Pb +/-","Bi","Bi +/-","Pd","Pd +/-","Sb","Sb +/-","Au","Au +/-","P","P +/-","S","S +/-","Y","Y +/-","Ru","Ru +/-"
"2026-02-04 15:44:55","5","X550-04360","","","","Mining","","","","0.90","0.22","0.66","0.08","","","0.07","0.02","16.36","0.14","1.14","0.07","66.60","0.30","0.25","0.05","9.71","0.14","0.18","0.03","","","","","","","","","1.73","0.02","","","","","","","","","","","0.14","0.06","","","0.04","0.01","","","","","","","","","0.14","0.02","1.36","0.04","","","",""
"2026-02-04 15:45:28","6","X550-04360","","","","Soil","","","","","","","","ND","< 0.09","0.07","0.01","37.03","2.70","2.48","0.45","100.8","8.54","ND","< 0.19","5.73","0.51","0.07","0.02","ND","< 0.01","ND","< 0.01","ND","< 0.05","ND","< 0.01","0.50","0.04","ND","< 0.01","0.01","0.01","ND","< 0.05","","","ND","< 0.02","ND","< 0.13","","","ND","< 0.01","","","","","ND","< 0.02","","","ND","< 1.38","5.40","1.41","ND","< 0.01","",""
