"Date","Test #","Serial #","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG Flag","Mg","Mg +/-","Al","Al +/-","Si","Si +/-","Ti","Ti +/-","V","V +/-","Cr","Cr +/-","Mn","Mn +/-","Fe","Fe +/-","Co","Co +/-","Ni","Ni +/-","Cu","Cu +/-","Zn","Zn +/-","Se","Se +/-","Zr","Zr +/-","Nb","Nb +/-","Mo","Mo +/-","Ag","Ag +/-","Cd","Cd +/-","Sn","Sn +/-","Hf","Hf +/-","Ta","Ta +/-","W","W +/-","Re","Re +/-","Pb","Pb +/-","Bi","Bi +/-","Pd","Pd +/-","Sb","Sb +/-","Au","Au +/-","P","P +/-","S","S +/-","Y","Y +/-","Ru","Ru +/-"
"2026-02-05 11:24:34","7","X550-04360","","","","Soil","","","","","","","","ND","< 0.15","0.08","0.02","36.69","4.58","2.64","0.76","95.62","13.64","ND","< 0.31","5.43","0.82","0.05","0.03","ND","< 0.01","ND","< 0.01","ND","< 0.07","ND","< 0.01","0.47","0.07","ND","< 0.02","ND","< 0.03","ND","< 0.15","","","ND","< 0.02","ND","< 0.21","","","ND","< 0.01","","","","","ND","< 0.04","","","ND","< 2.38","5.03","2.41","ND","< 0.01","",""
"2026-02-05 11:24:56","8","X550-04360","","","","Mining","","","","0.65","0.34","0.70","0.14","","","0.06","0.03","16.51","0.24","1.11","0.12","67.04","0.53","0.27","0.08","9.58","0.24","0.20","0.05","","","","","","","","","1.70","0.03","","","","","","","","","","","","","","","0.04","0.01","","","","","","","","","0.13","0.04","1.36","0.07","","","",""
