,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,190,6,3,20,4,0,1,0
garnet,2,217,1,3,0,0,2,0
monazite-bra,0,1,216,4,2,0,1,1
nephe,19,2,1,183,17,0,2,0
quartz,5,0,0,19,200,0,1,0
rutile,0,0,2,8,2,213,0,0
tray,0,2,0,1,0,0,222,0
zircon,0,1,1,1,0,0,7,213
