,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,0.9955555555555555,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0
garnet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
monazite-bra,0.0044444444444444444,0.0,0.9866666666666667,0.0044444444444444444,0.0,0.0044444444444444444,0.0,0.0
nephe,0.0,0.0,0.0,0.9911111111111112,0.0,0.0,0.0,0.008888888888888889
quartz,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rutile,0.0044444444444444444,0.0,0.0,0.0,0.0,0.9955555555555555,0.0,0.0
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.9955555555555555,0.0044444444444444444
zircon,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.017777777777777778,0.9777777777777777
