,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,220,3,0,0,0,1,0,1
garnet,1,220,1,2,0,0,0,0
monazite-bra,1,0,219,2,3,0,0,0
nephe,1,1,0,206,6,0,0,11
quartz,2,0,0,0,223,0,0,0
rutile,1,0,2,4,1,217,0,0
tray,1,0,0,0,2,0,219,3
zircon,0,1,0,18,1,0,0,205
