,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,104,8,4,73,24,0,11,0
garnet,0,220,1,3,1,0,0,0
monazite-bra,13,0,180,11,19,0,2,0
nephe,48,2,7,84,74,0,10,0
quartz,33,1,5,59,104,0,23,0
rutile,8,1,2,2,4,208,0,0
tray,12,2,2,8,5,0,196,0
zircon,0,0,0,0,0,0,1,222
