,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,221,2,1,0,0,1,0,0
garnet,3,207,0,5,5,5,0,0
monazite-bra,1,1,218,3,1,0,1,0
nephe,2,3,3,216,1,0,0,0
quartz,2,1,0,0,219,2,1,0
rutile,2,5,6,4,8,200,0,0
tray,1,0,0,0,0,0,224,0
zircon,0,0,0,0,0,0,4,221
