experiment,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
mode_group_mining,Logistic Regression,0.8289,0.0,0.8289,0.8558,0.8219,0.8044,0.8099
mode_group_soil,Logistic Regression,0.6493,0.0,0.6493,0.6755,0.6406,0.5992,0.6084
