Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.9459,0.997,0.9459,0.9467,0.9458,0.9382,0.9383,2.502
Logistic Regression,0.5173,0.0,0.5173,0.5036,0.5089,0.4483,0.4488,0.064
Ridge Classifier,0.5168,0.0,0.5168,0.4642,0.4781,0.4478,0.4519,0.03
K Neighbors Classifier,0.4031,0.725,0.4031,0.4402,0.4139,0.3179,0.321,0.068
