Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.9224,0.993,0.9224,0.9227,0.9221,0.9114,0.9115,3.308
Logistic Regression,0.8473,0.0,0.8473,0.8479,0.8472,0.8254,0.8255,0.074
Ridge Classifier,0.8411,0.0,0.8411,0.8395,0.8243,0.8183,0.8223,0.032
K Neighbors Classifier,0.7876,0.9487,0.7876,0.7936,0.7894,0.7572,0.7576,0.06
