Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.7277,0.9405,0.7277,0.7305,0.7285,0.6888,0.689,2.51
Logistic Regression,0.6167,0.0,0.6167,0.6159,0.6158,0.5619,0.5622,0.058
Ridge Classifier,0.615,0.0,0.615,0.5887,0.5961,0.56,0.5622,0.03
K Neighbors Classifier,0.5613,0.8209,0.5613,0.5811,0.5671,0.4987,0.5012,0.06
