epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,330.213,0.54782,1.19807,0.90784,0.00333,1,0.01681,0.01326,0.5306,3.61778,0.90625,0.000493898,0.000493898,0.000493898
45,338.448,0.52658,1.31261,0.87183,0.00333,1,0.01657,0.01346,0.48993,3.69265,0.90612,0.000496672,0.000496672,0.000496672
46,346.2,0.67733,1.28456,0.86996,0.00333,1,0.01657,0.01346,0.48993,3.69265,0.90612,0.00049905,0.00049905,0.00049905
47,354.338,0.51447,1.37517,0.91015,0.00333,1,0.02601,0.01586,0.51551,3.57362,0.87089,0.000501032,0.000501032,0.000501032
48,362.42,0.54743,1.24926,0.8463,0.00333,1,0.02601,0.01586,0.51551,3.57362,0.87089,0.000502618,0.000502618,0.000502618
49,370.532,0.54875,1.16235,0.87351,0.00333,1,0.07734,0.0725,0.49027,3.61392,0.85981,0.000503808,0.000503808,0.000503808
50,378.19,0.43617,1.20511,0.87301,0.00333,1,0.07734,0.0725,0.49027,3.61392,0.85981,0.000504602,0.000504602,0.000504602
51,385.977,0.47792,1.07139,0.80979,0.00333,1,0.31138,0.28304,0.51544,3.53348,0.85636,0.000505,0.000505,0.000505
52,393.813,0.53514,1.09255,0.80662,0.00333,1,0.31138,0.28304,0.51544,3.53348,0.85636,0.000505002,0.000505002,0.000505002
53,401.595,0.57281,1.12234,0.92335,0.00333,1,0.31138,0.28304,0.51544,3.53348,0.85636,0.000504608,0.000504608,0.000504608
54,409.44,0.51335,1.07262,0.87808,0.00333,1,0.75663,0.62608,0.48311,3.5488,0.85098,0.000503818,0.000503818,0.000503818
55,417.229,0.53374,1.32844,0.83727,0.00333,1,0.75663,0.62608,0.48311,3.5488,0.85098,0.000502632,0.000502632,0.000502632
56,425.17,0.47076,1.10697,0.83212,0.00333,1,0.75663,0.62608,0.48311,3.5488,0.85098,0.00050105,0.00050105,0.00050105
57,433.295,0.44655,1.15281,0.85737,0.00333,1,0.77203,0.73903,0.40935,3.33383,0.81244,0.000499072,0.000499072,0.000499072
58,441.229,0.58218,1.15374,0.87996,0.00333,1,0.77203,0.73903,0.40935,3.33383,0.81244,0.000496698,0.000496698,0.000496698
59,449.104,0.49057,1.2773,0.89834,0.00333,1,0.77203,0.73903,0.40935,3.33383,0.81244,0.000493928,0.000493928,0.000493928
60,456.475,0.43251,1.12737,0.83557,0.00333,1,0.82833,0.79504,0.41731,3.2886,0.81532,0.000490762,0.000490762,0.000490762
61,465.178,0.50783,0.97942,0.8716,0.00333,1,0.82833,0.79504,0.41731,3.2886,0.81532,0.0004872,0.0004872,0.0004872
62,472.256,0.57234,1.23643,0.87116,0.00333,1,0.82833,0.79504,0.41731,3.2886,0.81532,0.000483242,0.000483242,0.000483242
63,479.284,0.4877,1.30904,0.83437,0.00333,1,0.85611,0.82004,0.42335,3.20683,0.82136,0.000478888,0.000478888,0.000478888
