X	Y
0	0
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
7.000	0
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
7.000	0
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
7.000	0
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
7.000	0
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
7.000	0
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
7.000	0
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
7.000	0
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
7.000	0
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
0	-7.000
7.000	0
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
0	7.000
