Energy (keV),Intensity (cps)
-0.0136205282891636,0.0
20.04004166431137,0.0
40.0937038569119,0.0
60.147366049512435,0.0
80.20102824211297,0.0
100.25469043471351,0.0
120.30835262731404,0.0
140.36201481991458,0.0
160.41567701251512,0.0
180.46933920511566,0.0
200.5230013977162,0.0
220.5766635903167,0.0
240.63032578291725,0.0
260.68398797551777,0.0
280.7376501681183,0.0
300.79131236071885,0.0
320.8449745533194,0.0
340.89863674591993,0.0
360.95229893852047,1.0064281719955623
381.005961131121,0.5032140859977812
401.05962332372155,1.0064281719955623
421.11328551632204,0.0
441.1669477089226,1.5096422579933435
461.2206099015231,2.0128563439911247
481.27427209412366,2.516070429988906
501.3279342867242,2.0128563439911247
521.3815964793247,4.5289267739800305
541.4352586719252,3.522498601984468
561.4889208645258,7.044997203968936
581.5425830571263,8.55463946196228
601.5962452497268,9.057853547960061
621.6499074423274,4.025712687982249
641.7035696349279,6.038569031973374
661.7572318275285,2.0128563439911247
681.810894020129,5.032140859977812
701.8645562127296,3.522498601984468
721.9182184053301,4.5289267739800305
741.9718805979306,7.5482112899667175
762.0255427905312,7.5482112899667175
782.0792049831317,6.038569031973374
802.1328671757323,9.561067633957842
822.1865293683327,10.064281719955623
842.2401915609332,11.573923977948967
862.2938537535338,25.66391838588684
882.3475159461343,26.670346557882404
902.4011781387348,34.7217719338469
922.4548403313354,37.23784236383581
942.5085025239359,50.8246226857759
962.5621647165365,68.43711569569824
982.615826909137,61.89533257772708
1002.6694891017376,29.186416987871308
1022.7231512943381,21.638205697904592
1042.7768134869384,21.13499161190681
1062.830475679539,21.638205697904592
1082.8841378721395,39.250698707826935
1102.93780006474,35.224986019844685
1122.9914622573406,37.741056449833586
1143.045124449941,24.65749021389128
1163.0987866425417,22.644633869900154
1183.1524488351422,24.154276127893496
1203.2061110277427,37.23784236383581
1223.2597732203433,39.75391279382471
1243.3134354129438,40.25712687982249
1263.3670976055444,26.16713247188462
1283.420759798145,22.644633869900154
1303.4744219907454,13.08356623594231
1323.528084183346,8.051425375964499
1343.5817463759465,8.55463946196228
1363.635408568547,10.567495805953405
1383.6890707611476,14.089994407937873
1403.7427329537481,17.612493009922343
1423.7963951463487,18.115707095920122
1443.8500573389492,21.638205697904592
1463.9037195315498,47.30212408379143
1483.9573817241503,49.818194513780334
1504.0110439167509,48.30855225578699
1524.0647061093514,38.74748462182915
1544.118368301952,32.205701503857995
1564.1720304945525,26.16713247188462
1584.225692687153,21.13499161190681
1604.2793548797536,16.60606483792678
1624.3330170723539,23.651062041895717
1644.3866792649544,31.702487417860215
1664.440341457555,96.1138904255762
1684.4940036501555,342.1855784784912
1704.547665842756,898.2371435060394
1724.6013280353566,1763.2621573362253
1744.6549902279571,2233.7673277441504
1764.7086524205577,2011.8499158191291
1784.7623146131582,1271.1187812303951
1804.8159768057587,575.1737002954638
1824.8696389983593,260.6648965468506
1844.9233011909598,154.9899384873166
1864.9769633835604,106.17817214553183
1885.030625576161,61.89533257772708
1905.0842877687614,40.25712687982249
1925.137949961362,44.28283956780474
1945.1916121539625,40.25712687982249
1965.245274346563,37.741056449833586
1985.2989365391636,49.31498042778256
2005.3525987317641,57.36640580374706
2025.4062609243647,61.392118491729306
2045.4599231169652,70.95318612568714
2065.5135853095658,59.88247623373596
2085.567247502166,59.88247623373596
2105.620909694767,58.372833975742616
2125.674571887367,58.372833975742616
2145.728234079968,56.863191717749274
2165.7818962725682,54.85033537375815
2185.835558465169,56.863191717749274
2205.8892206577693,61.89533257772708
2225.94288285037,83.53353827563167
2245.9965450429704,118.25531020947858
2266.050207235571,190.21492450716127
2286.1038694281715,340.1727221345001
2306.1575316207723,451.3830351400097
2326.2111938133726,498.6851592238011
2346.2648560059733,422.1966181521384
2366.3185181985737,305.45095020065315
2386.3721803911744,232.4849077309749
2406.4258425837747,177.13135827121897
2426.4795047763755,150.46101171333657
2446.533166968976,162.03493569128554
2466.5868291615766,152.4738680573277
2486.640491354177,158.00922300330328
2506.6941535467777,167.57029063726114
2526.747815739378,190.71813859315907
2546.8014779319788,239.02669084894606
2566.855140124579,377.91377858433367
2586.9088023171794,657.1975963131022
2606.96246450978,1043.1628002734003
2627.0161267023805,1530.7772496052503
2647.0697888949812,2103.4348794707253
2667.1234510875815,2805.921743523628
2687.1771132801823,3518.976103382484
2707.2307754727826,3789.70528164929
2727.2844376653834,3321.2129675853557
2747.3380998579837,2501.980435580968
2767.3917620505845,1719.985745940416
2787.445424243185,1430.6376464916918
2807.4990864357856,1652.0518443307155
2827.552748628386,2075.2548906548495
2847.6064108209866,2164.8269979624547
2867.660073013587,2048.0813300109694
2887.7137352061877,1650.5422020727221
2907.767397398788,1605.7561484189198
2927.821059591389,1718.4761036824227
2947.874721783989,1972.0960030253043
2967.92838397659,2038.0170482910137
2987.98204616919,1921.2713803395286
3008.035708361791,1465.8626325115365
3028.0893705543913,1026.5567354354737
3048.143032746992,644.1140300771599
3068.1966949395924,431.25447170009846
3088.250357132193,338.15986579050895
3108.3040193247934,317.52808826459994
3128.357681517394,345.7080770804757
3148.4113437099945,366.3398546063847
3168.4650059025953,403.07448288422273
3188.5186680951956,398.04234202424493
3208.5723302877964,386.97163213229373
3228.6259924803967,355.7723588004313
3248.679654672997,330.1084404145445
3268.7333168655978,328.5987981565511
3288.786979058198,366.8430686923825
3308.840641250799,423.70626041013173
3328.894303443399,443.3316097640452
3348.947965636,446.3508942800319
3369.0016278286002,389.4877025622826
3389.055290021201,345.7080770804757
3409.1089522138013,298.4059529966842
3429.162614406402,297.3995248246887
3449.2162765990024,238.52347676294826
3469.269938791603,244.05883170892386
3489.3236009842035,229.46562321498823
3509.3772631768043,226.9495527849993
3529.4309253694046,226.9495527849993
3549.4845875620053,252.11025708488836
3569.5382497546057,267.2066796648218
3589.5919119472064,268.21310783681736
3609.6455741398067,303.9413079426598
3629.6992363324075,350.2370038544557
3649.752898525008,421.6934040661406
3669.8065607176086,493.1498042778255
3689.860222910209,515.7944381477257
3709.9138851028097,568.6319171774927
3729.96754729541,536.9294297596325
3750.0212094880108,443.834823850043
3770.074871680611,377.91377858433367
3790.128533873212,337.65665170451115
3810.182196065812,304.9477361146554
3830.235858258413,290.35452762071975
3850.2895204510132,290.35452762071975
3870.3431826436135,315.012017834611
3890.3968448362143,300.92202342667315
3910.4505070288146,300.92202342667315
3930.5041692214154,312.9991614906199
3950.5578314140157,342.1855784784912
3970.6114936066165,335.64379536052
3990.665155799217,349.73378976845794
4010.7188179918176,351.2434320264513
4030.772480184418,392.00377299227154
4050.8261423770186,365.83664052038694
4070.879804569619,384.9587757883026
4090.9334667622197,356.7787869724269
4110.987128954821,364.32699826239354
4131.040791147421,378.9202067563292
4151.094453340022,390.997344820276
4171.148115532622,365.83664052038694
4191.201777725223,378.41699267033147
4211.255439917823,342.1855784784912
4231.309102110424,380.93306310032034
4251.362764303024,381.43627718631814
4271.416426495625,399.55198428223827
4291.470088688226,386.46841804629594
4311.523750880826,405.5905533142116
4331.577413073426,423.203046324134
4351.631075266027,414.14519277617393
4371.684737458628,444.84125202203853
4391.738399651228,538.9422861036236
4411.792061843828,698.9643654509181
4431.84572403643,1033.6017326394426
4451.89938622903,1693.3153993825335
4471.95304842163,2529.153996224848
4492.0067106142305,3484.7575455346346
4512.060372806831,3957.778786372549
4532.114034999432,4129.8780037837905
4552.167697192032,3414.3075734949452
4572.221359384633,2543.243990632786
4592.275021577233,1752.6946615302718
4612.328683769834,1131.7284794090099
4632.382345962435,719.0929288908293
4652.436008155035,597.3151200793662
4672.489670347635,515.7944381477257
4692.543332540236,494.1562324498211
4712.596994732837,502.7108719117834
4732.650656925437,527.8715762116725
4752.704319118037,533.406931157648
4772.757981310639,491.13694793383445
4792.811643503239,549.509781909577
4812.865305695839,533.406931157648
4832.9189678884395,604.3601172833352
4852.972630081041,642.1011737331688
4873.026292273641,761.8661262006407
4893.079954466241,889.1792899580794
4913.133616658842,1025.550307263478
4933.187278851443,1100.5292060771474
