energy_kev,MiningHighVoltage,MiningLowVoltage,SoilHighVoltage,SoilMidVoltage,SoilLowVoltage
2.012672,0.024095,2.096066,-0.000771,0.077637,0.269145
2.032713,0.091685,2.626541,0.002155,0.005102,0.269969
2.052755,0.135855,2.685360,-0.012107,0.079591,0.267831
2.072797,0.084429,2.330947,-0.012300,0.004539,0.348936
2.092838,0.068499,2.047421,-0.003524,0.001496,0.348407
2.112880,0.083399,1.970584,-0.000387,0.004065,0.348213
2.132922,0.075802,1.630978,0.113451,0.081709,0.347914
2.152963,0.075477,1.230881,0.113224,0.081418,0.347587
2.173005,0.078813,0.831014,0.118838,0.003994,0.347565
2.193047,0.015708,0.502189,0.116096,0.005483,0.347074
2.213089,0.013937,0.250652,0.118053,0.081565,0.347248
2.233130,0.012351,0.141726,-0.002542,0.003961,0.000540
2.253172,0.017797,0.029546,-0.006423,0.006840,0.001062
2.273214,0.022483,-0.070832,-0.001279,-0.003352,0.000754
2.293255,0.014880,-0.082540,0.004742,0.002881,-0.000018
2.313297,0.069878,-0.092738,0.111228,0.001414,0.000452
2.333339,0.054982,-0.062224,0.006969,0.073752,-0.000061
2.353380,0.056496,-0.066082,-0.005846,0.005470,0.000077
2.373422,0.005307,-0.021073,-0.007836,0.003227,0.000306
2.393464,0.076067,-0.070528,-0.007764,0.006936,0.000064
2.413505,-0.050736,-0.046998,0.111752,0.081579,-0.000003
2.433547,0.074778,-0.031234,0.112750,0.003685,0.000711
2.453589,-0.056820,-0.042645,0.003775,0.000692,0.000148
2.473630,0.017491,-0.042918,-0.002949,0.084708,0.000426
2.493672,0.025639,-0.006365,0.002050,0.003275,0.346969
2.513714,0.069577,0.002157,-0.000207,0.003839,0.000656
2.533755,0.070859,-0.044809,0.000106,0.004732,0.000052
2.553797,0.016173,-0.090584,0.006984,0.082619,-0.000408
2.573839,0.009402,-0.175770,-0.000344,0.084600,-0.000031
2.593881,0.012574,-0.179200,-0.001673,0.081399,-0.000306
2.613922,0.006881,-0.140102,-0.005929,-0.076333,0.197401
2.633964,0.014665,-0.081089,0.005178,0.004634,-0.000213
2.654006,0.076479,-0.041275,-0.001004,0.002289,0.000273
2.674047,0.080702,-0.116744,-0.003657,-0.002490,0.267302
2.694089,0.006467,-0.056932,0.000265,0.002228,0.000253
2.714131,0.011008,-0.086011,0.001952,0.002352,0.000594
2.734172,0.012932,-0.022962,-0.003642,-0.079768,0.000868
2.754214,0.007421,0.051364,0.002640,0.000274,0.001177
2.774256,0.009173,0.026724,-0.005618,0.086278,0.000072
2.794297,0.082744,-0.015797,0.005928,0.095727,0.000582
2.814339,0.077244,0.020551,0.000868,-0.086519,0.000343
2.834381,0.080867,-0.028752,0.000685,0.007720,0.000607
2.854422,0.006222,-0.042545,0.009645,0.093818,0.000898
2.874464,0.043579,-0.024849,0.004692,-0.001260,-0.002378
2.894506,0.090456,-0.096738,0.010595,0.091605,-0.002200
2.914548,0.014062,-0.168913,-0.003507,0.090505,-0.002880
2.934589,0.007520,-0.284096,-0.004754,0.001874,-0.009175
2.954631,-0.001742,-0.356121,0.001639,0.089273,-0.100923
2.974673,-0.070523,-0.316273,0.121568,0.003478,-0.049548
2.994714,0.002678,-0.202252,0.001604,0.002833,-0.069624
3.014756,0.005898,-0.146340,-0.001547,0.048734,0.003222
3.034798,0.007449,-0.135425,-0.005657,-0.004537,-0.001077
3.054839,0.009746,-0.038813,-0.001354,0.000477,-0.000132
3.074881,-0.068775,-0.022364,0.119194,0.001966,-0.000218
3.094923,0.009884,-0.029635,-0.004133,0.001312,0.000331
3.114964,0.012219,-0.023745,0.112047,-0.000502,-0.000504
3.135006,0.002328,-0.056067,0.000536,0.001086,0.000780
3.155048,0.008955,-0.112158,-0.005882,0.001341,0.000956
3.175089,0.016128,-0.059750,-0.010910,0.004986,-0.000955
3.195131,0.014661,-0.041851,-0.124774,0.101935,-0.001610
3.215173,0.096274,-0.064731,-0.010627,0.003608,0.000179
3.235214,-0.076747,-0.041946,0.116647,0.000902,-0.001541
3.255256,0.017064,-0.119789,-0.001350,-0.002679,0.000304
3.275298,0.004167,-0.189657,0.005775,0.000800,-0.001125
3.295340,0.010415,-0.188711,-0.002406,-0.000516,-0.164952
3.315381,0.002195,-0.232496,0.104757,0.001435,-0.165744
3.335423,0.005491,-0.157221,0.006668,-0.110722,-0.002120
3.355465,0.101055,-0.126548,-0.004684,-0.000325,-0.000738
3.375506,-0.000091,-0.089527,0.004368,0.003579,-0.224560
3.395548,0.011946,-0.001826,-0.004033,0.000081,-0.000546
3.415590,0.011713,0.010083,-0.004931,0.112983,-0.000783
3.435631,0.001514,0.002559,-0.007361,0.007445,0.000526
3.455673,0.106299,-0.037758,-0.004156,-0.002494,0.000192
3.475715,0.005288,-0.078654,0.005500,0.002561,-0.000024
3.495756,0.113386,-0.002987,-0.000361,0.000220,0.000234
3.515798,0.005258,-0.023358,-0.000685,0.001465,0.000118
3.535840,0.009870,0.011001,-0.003469,0.001545,0.000520
3.555881,0.103309,0.017847,-0.000830,0.001117,-0.000248
3.575923,0.007894,-0.078066,-0.002039,-0.120197,-0.000032
3.595965,0.002822,-0.066244,-0.006501,0.000706,-0.000437
3.616006,0.008515,-0.089778,0.122747,-0.000820,-0.000255
3.636048,0.004485,-0.007502,0.123317,-0.000268,-0.152434
3.656090,0.118701,-0.108426,0.126841,-0.001945,-0.002304
3.676132,0.110198,-0.091574,0.125793,0.131858,-0.114576
3.696173,-0.089464,-0.093372,0.125020,0.126167,-0.003251
3.716215,0.007895,-0.063942,0.121242,-0.001082,-0.002467
