Energy (keV),Intensity (CPS)
-11.06083485515937,0.0
8.97980412448647,0.0
29.020443104132312,0.0
49.06108208377815,0.0
69.101721063424,0.0
89.14236004306984,0.0
109.18299902271568,0.0
129.2236380023615,0.0
149.26427698200735,0.0
169.3049159616532,0.0
189.34555494129904,0.0
209.3861939209449,0.0
229.42683290059074,0.0
249.46747188023653,0.0
269.5081108598824,0.0
289.5487498395282,0.0
309.5893888191741,0.0
329.6300277988199,0.0
349.6706667784658,0.385931364588073
369.7113057581116,0.0
389.75194473775747,0.771862729176146
409.79258371740326,0.385931364588073
429.8332226970491,1.157794093764219
449.87386167669496,0.385931364588073
469.9145006563408,0.771862729176146
489.95513963598665,0.385931364588073
509.99577861563245,0.385931364588073
530.0364175952784,2.315588187528438
550.0770565749242,0.771862729176146
570.1176955545701,1.543725458352292
590.1583345342159,1.9296568229403648
610.1989735138618,2.701519552116511
630.2396124935076,2.315588187528438
650.2802514731534,3.4733822812926567
670.3208904527993,2.315588187528438
690.3615294324451,1.543725458352292
710.402168412091,1.9296568229403648
730.4428073917368,2.701519552116511
750.4834463713827,3.087450916704584
770.5240853510285,2.701519552116511
790.5647243306744,1.543725458352292
810.6053633103202,3.8593136458807296
830.646002289966,5.017107739644949
850.6866412696119,5.788970468821095
870.7272802492577,9.262352750113752
890.7679192289036,5.788970468821095
910.8085582085494,16.98098004187521
930.8491971881953,30.874509167045836
950.889836167841,29.330783708693545
970.9304751474868,26.629264156577037
990.9711141271328,14.2794604897587
1011.0117531067785,5.403039104233022
1031.0523920864243,8.490490020937605
1051.0930310660704,14.2794604897587
1071.1336700457161,18.524705500227505
1091.174309025362,19.68249959399172
1111.2149480050077,14.665391854346773
1131.2555869846535,7.332695927173386
1151.2962259642995,10.806078208466044
1171.3368649439453,13.507597760582554
1191.3775039235911,16.59504867728714
1211.418142903237,16.209117312699064
1231.458781882883,12.349803666818335
1251.4994208625287,8.490490020937605
1271.5400598421745,6.174901833409168
1291.5806988218203,4.245245010468802
1311.621337801466,6.174901833409168
1331.6619767811121,6.5608331979972405
1351.702615760758,4.245245010468802
1371.7432547404037,4.631176375056876
1391.7838937200495,4.245245010468802
1411.8245326996955,7.332695927173386
1431.8651716793413,6.5608331979972405
1451.905810658987,10.034215479289898
1471.9464496386329,10.806078208466044
1491.9870886182787,18.13877413563943
1512.0277275979247,7.718627291761459
1532.0683665775705,5.403039104233022
1552.1090055572163,4.631176375056876
1572.149644536862,6.5608331979972405
1592.190283516508,4.631176375056876
1612.2309224961539,6.5608331979972405
1632.2715614757997,2.315588187528438
1652.3122004554455,4.245245010468802
1672.3528394350913,12.349803666818335
1692.3934784147373,21.612156416932088
1712.434117394383,35.891616906690786
1732.4747563740289,49.785146031861416
1752.5153953536746,33.96196008375042
1772.5560343333204,29.71671507328162
1792.5966733129665,17.752842771051355
1812.6373122926123,13.507597760582554
1832.677951272258,12.349803666818335
1852.7185902519038,9.262352750113752
1872.7592292315499,11.57794093764219
1892.7998682111956,10.034215479289898
1912.8405071908414,8.876421385525678
1932.8811461704872,14.2794604897587
1952.921785150133,14.665391854346773
1972.962424129779,20.068430958579796
1993.0030631094248,28.944852344105474
2013.0437020890706,29.330783708693545
2033.0843410687164,23.15588187528438
2053.124980048362,24.313675969048596
2073.1656190280078,19.68249959399172
2093.2062580076536,25.471470062812816
2113.2468969873,23.15588187528438
2133.2875359669456,28.5589209795174
2153.3281749465914,26.629264156577037
2173.368813926237,28.944852344105474
2193.409452905883,17.366911406463284
2213.4500918855288,29.71671507328162
2233.4907308651746,33.96196008375042
2253.5313698448203,42.8383814692761
2273.572008824466,59.819361511151314
2293.6126478041124,80.65965519890726
2313.653286783758,78.34406701137881
2333.693925763404,73.71289063632194
2353.7345647430498,70.23950835502929
2373.7752037226956,78.34406701137881
2393.8158427023413,67.92392016750084
2413.856481681987,67.53798880291276
2433.897120661633,60.20529287573938
2453.9377596412787,52.872596948566
2473.978398620925,55.18818513609443
2494.0190376005708,59.047498781975165
2514.0596765802165,67.53798880291276
2534.1003155598623,74.09882200091002
2554.140954539508,85.29083157396413
2574.181593519154,118.09499756395033
2594.2222324987997,184.08926090851082
2614.2628714784455,340.3914635666804
2634.3035104580913,652.6099375184314
2654.3441494377375,1088.3264481383658
2674.3847884173833,1515.1665373727744
2694.425427397029,1714.30712150022
2714.466066376675,1514.3946746435984
2734.5067053563207,1123.4462023158803
2754.5473443359665,724.3931713318129
2774.5879833156123,598.1936151115132
2794.628622295258,682.326652591713
2814.669261274904,847.5052766354082
2834.70990025455,952.4786078033641
2854.750539234196,864.8721880418716
2874.7911782138417,750.636504123802
2894.8318171934875,648.7506238725507
2914.8724561731333,649.1365552371387
2934.913095152779,727.0946908839295
2954.953734132425,766.459690071913
2974.9943731120707,691.5890053418268
2995.0350120917165,569.6346941319957
3015.0756510713627,377.4408745671354
3035.1162900510085,244.29455378425018
3055.1569290306543,153.98661447064111
3075.1975680103,142.02274216841084
3095.238206989946,126.971418949476
3115.2788459695917,129.28700713700445
3135.3194849492374,143.95239899135123
3155.3601239288832,151.67102628311267
3175.400762908529,151.2850949185246
3195.4414018881753,145.4961244497035
3215.482040867821,123.88396803277142
3235.522679847467,112.30602709512924
3255.5633188271127,104.2014684387797
3275.6039578067584,106.51705662630815
3295.6445967864042,107.67485072007236
3315.68523576605,122.34024257441914
3335.725874745696,133.91818351206132
3355.7665137253416,127.74328167865215
3375.8071527049874,122.34024257441914
3395.8477916846336,105.745193897132
3415.8884306642794,95.32504705325402
3435.9290696439252,109.60450754301273
