,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,37,4,1,154,21,0,7,0
garnet,0,213,0,6,1,0,5,0
monazite-bra,0,1,217,3,2,0,2,0
nephe,7,2,0,166,35,1,14,0
quartz,0,0,0,42,180,0,3,0
rutile,0,0,2,1,2,212,8,0
tray,0,1,3,22,4,1,194,0
zircon,0,0,0,0,0,0,0,223
