,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,959,19,8,94,28,2,12,1
garnet,6,1089,3,13,6,5,2,0
monazite-bra,16,2,1055,21,25,1,4,1
nephe,70,8,11,912,98,0,12,13
quartz,42,2,5,78,971,2,25,0
rutile,12,6,12,18,15,1062,0,0
tray,14,4,2,9,7,0,1085,4
zircon,0,2,1,20,1,0,16,1081
