,feldspar,garnet,monazite-bra,nephe,quartz,rutile,tray,zircon
feldspar,27,8,0,132,46,2,8,2
garnet,1,213,0,9,2,0,0,0
monazite-bra,0,0,218,3,4,0,0,0
nephe,12,2,0,129,69,1,12,0
quartz,2,1,1,83,127,0,11,0
rutile,0,0,3,5,0,217,0,0
tray,1,1,1,93,104,0,25,0
zircon,0,0,0,2,1,0,0,222
